id,title,company,salary,meta,url,description
841709,Senior Python Backend Engineer,Suntech INNOVATION,,Тільки віддалено · Країни Європи та Україна · 5 років досвіду · Англійська - B2 · Gambling,https://djinni.co/jobs/841709-senior-python-backend-engineer/,"About us We are a product R&D company that creates solutions for the dynamic iGaming Ecosystem. Our mission is to build cutting-edge platforms that reinvent the iGaming industry. About the team We are a focused engineering team of 5 to 9 people at a multi-product tech SaaS company. We work across personalization, recommendation, fraud detection, and some GenAI, through real-time, near-real-time, and batch pipelines. The team is a blend of Python backend engineers, ML engineers, QA (manual and..."
843292,Middle Software Engineer (Python),EVERSTAR | Робота в MilTech,,Тільки офіс · Україна (Київ) · 3 роки досвіду · Англійська - Немає,https://djinni.co/jobs/843292-middle-software-engineer-python/,"Шукаємо Middle Software Engineer (Python) у продуктовий R&D-напрямок, який створює та виготовляє реальні апаратно-програмні комплекси й електронні рішення для використання у складних польових умовах. Команда активно масштабується, оптимізує процеси та розширює інженерний склад для розробки високонавантажених серійних продуктів. Чим належить займатися: Проєктування та розробка: створення та інтеграція надійного нового функціоналу у базові програмні системи. Оптимізація продуктивності: аналіз коду та..."
843290,"Middle Software Engineer (Python, C++, ML/CV)",EVERSTAR | Робота в MilTech,,Тільки офіс · Україна (Київ) · 3 роки досвіду · Англійська - Немає,https://djinni.co/jobs/843290-middle-software-engineer-python-c-ml-cv/,"Шукаємо Middle Software Engineer у продуктовий R&D-напрямок. Ми розробляємо та виготовляємо реальні апаратно-програмні комплекси й електронні рішення для застосування у складних польових умовах. Команда швидко розширюється для створення високонавантажених систем, які виготовляються у великих серіях та забезпечують технологічну перевагу. Чим належить займатися: Оптимізація та low-latency: оптимізація ПЗ для зниження затримки та високої ефективності використання пам'яті. Алгоритми: реалізація алгоритмів..."
837697,Middle AQA (Python) Engineer,GlobalLogic,,Тільки віддалено · Україна · 3 роки досвіду · Англійська - B2 · Media,https://djinni.co/jobs/837697-middle-aqa-python-engineer/,About project: Our Customer is one of the biggest companies on the market of home entertainment consumer electronics devices that strives to provide their clients with high-quality products and services. Project goals include automation testing of the video and audio content and other services available via digital media players using a custom test automation framework. Responsibilities: Working with the solid automation test framework and infrastructure. Developing new and updating existing automation...
843228,Python Backend Developer,Codebridge,,Тільки віддалено · Україна · 3 роки досвіду · Англійська - B2 · Logistics / Supply Chain,https://djinni.co/jobs/843228-python-backend-developer/,"We're looking for a Python Backend Developer with a strong algorithmic mindset to join a sea transport logistics project. You'll be working on route optimization — designing and implementing algorithms and calculation models that solve concrete business problems in shipping and freight planning. Responsibilities: Implement features and resolve bugs using AI coding tools as your primary workflow Work with geospatial data: coordinates, routes, distance and travel-time calculations, coordinate..."
843227,Senior AI Engineer,Adaptiq,до $7300,Тільки віддалено · Країни ЄС · 7 років досвіду · Англійська - B2,https://djinni.co/jobs/843227-senior-ai-engineer/,"Who we are: Adaptiq is a technology hub specializing in building, scaling, and supporting R&D teams for high-end, fast-growing product companies in a wide range of industries. About the Product: We are developing an AI-first platform that brings together multiple maritime data sources into a single, unified operational view. The platform creates a digital twin of global maritime activity and uses behavioral analytics together with predictive AI models to identify risks such as smuggling, illegal fishing,..."
826872,Middle Python Developer (FastAPI),Dataforest,,Тільки віддалено · Країни Європи та Україна · 3 роки досвіду · Англійська - B2 · Gambling,https://djinni.co/jobs/826872-middle-python-developer-fastapi/,"We are looking for a Middle Python Developer with a strong focus on backend development, high-performance APIs, and microservices to join the Dataforest team. If you are looking for a friendly team, a healthy working environment, and a flexible schedule ‒ you have found the right place to send your CV. You'll be a great fit if you have: 3+ years of commercial experience with Python; Strong production experience with FastAPI (async programming, dependency injection, Pydantic); Strong understanding of..."
838548,Senior Python Software Developer,N-iX,,Тільки віддалено · Країни ЄС · 5 років досвіду · Англійська - B2,https://djinni.co/jobs/838548-senior-python-software-developer/,"N-iX is seeking a Senior Python Software Developer in the AI Services to join our team. About the project: Our client is an established market leader who has been processing over 18 million vehicle claims per year since 2002, with more than 1,000 employees worldwide. They combine AI-based processes and the latest technologies with the knowledge of our automotive experts. Responsibilities: Design and implement software solutions in Python in the field of artificial intelligence and machine..."
827023,Senior Python Developer,Solid Software,,Тільки віддалено · Весь світ · 7 років досвіду · Англійська - B2,https://djinni.co/jobs/827023-senior-python-developer/,"We are looking for a Senior Python Developer who is ready to scale and grow with us. If you’re passionate about clean code, scalable backend architecture, and excited to build something impactful, we’d love to meet you! What will you do? • Contribute to the full backend lifecycle, from architecture design to production deployment; • Design, develop, and maintain RESTful APIs using Python, Flask, FastAPI, and SQLAlchemy; • Implement microservices architecture with message brokers and API gateways; •..."
825917,Odoo Developer / Odoo ERP Engineer (Middle),HR2,,Тільки віддалено · Україна · 2 роки досвіду · Англійська - B2 · E-commerce / Marketplace,https://djinni.co/jobs/825917-odoo-developer-odoo-erp-engineer-middle/,"Шукаємо Middle Odoo Developer / Odoo ERP Engineer для розвитку та підтримки ERP-системи виробничої компанії. Основні задачі: — розробка та доопрацювання модулів Odoo; — створення кастомних модулів під бізнес-процеси; — підтримка та оптимізація існуючого коду; — аналіз та виправлення помилок; — автоматизація процесів компанії; — інтеграція та налаштування взаємодії між модулями; — створення звітів та бізнес-логіки; — участь у розвитку ERP-архітектури. Працюємо з процесами продажів, закупівель,..."
759713,Middle/Middle+ Python Developer,УТ Еволюшин,до $3500,Україна · 3 роки досвіду · Англійська - B1,https://djinni.co/jobs/759713-middle-middle-python-developer/,"Шукаємо досвідченого Backend-end розробника для реалізації системи планування ресурсів підприємства. Локація Рівне/Львів. Вимоги: Досвід комерційної розробки від 3 років; Досвід розробки REST API за допомогою FastAPI (async)/Flask/aiohttp; Досвід роботи з asyncIO бібліотекою та асинхронним кодом загалом; Досвід роботи з реляційними базами даних (PostgreSQL в пріорітеті) Досвід використання SQLAlchemy; Досвід написання unit тестів; Базові знання Docker, робота з CI/CD, Git; Вміння працювати в команді та..."
843031,Python Developer у продуктову компанію,ITExpert,,Тільки офіс · Україна (Львів) · 3 роки досвіду · Англійська - B2 · Energy / Utilities,https://djinni.co/jobs/843031-python-developer-u-produktovu-kompaniiu/,"Продуктова компанія у пошуку Python Developer для роботи у Львові. Продукт, над яким працюватиме спеціаліст, належить американській корпорації (входить до списку Fortune 500). Команда займається розробкою рішень для автоматизації та віддаленого моніторингу роботи вітряних турбін, сонячних електростанцій і масивів зберігання електроенергії. Платформа вже забезпечує ефективну роботу понад 60 тис. високопродуктивних турбін по всьому світу. Передбачаються два етапи спілкування — технічна та менеджерська..."
843000,Senior Python developer (IRC301523),GlobalLogic,,Тільки віддалено · Україна · 5 років досвіду · Англійська - B2 · Healthcare / MedTech,https://djinni.co/jobs/843000-senior-python-developer-irc301523/,"Operating within the healthcare sector, this organization focuses on advancing medical technologies and solutions that enhance patient care. They specialize in developing innovative medical devices that streamline clinical trials and improve treatment accessibility. The organization collaborates with healthcare professionals to ensure that new therapies are both safe and effective. With a commitment to research and development, they aim to accelerate the adoption of their products in the healthcare..."
842995,Full-Stack Developer Python / Frappe / Vue.js / еАкциз,Diia,,Гібридний формат роботи · Україна · 2 роки досвіду · Англійська - B1 · GovTech,https://djinni.co/jobs/842995-full-stack-developer-python-frappe-vue-js-eak/,"Ми розробляємо цифрову інфраструктуру для регулювання акцизного ринку України — систему, від якої залежить прозорість та ефективність роботи тисяч економічних операторів. Наша команда будує складні CRM/ERP-рішення на базі Frappe, де кожен модуль має реальний вплив на бізнес-процеси національного масштабу. Наші цінності: Ми віримо в інакШОмислення, що формує майбутнє та відкриває шлях до постійного розвитку. Клієнтоцентричність для нас — не просто підхід, а щоденна практика розуміння й перевершення..."
